source_rack,target_rack,source_row,source_col,target_row,target_col,manhattan_distance,euclidean_m,source_delta_power_W,delta_inlet_K,delta_inlet_K_per_kW
129,193,6,9,9,13,7,7.5894663844041075,13923.15131660198,-0.00578218477446768,-0.00041529282006531074
129,194,6,9,9,14,8,7.799999999999997,13923.15131660198,-0.005823220249929761,-0.0004182401036600204
129,195,6,9,9,15,9,8.04984471899924,13923.15131660198,-0.005773042420411656,-0.0004146361904095572
129,196,6,9,9,16,10,8.335466393669881,13923.15131660198,-0.005635332778801683,-0.000404745495517391
129,197,6,9,9,17,11,8.653323061113573,13923.15131660198,-0.005410137523046643,-0.0003885713370503695
129,198,6,9,9,18,12,8.999999999999998,13923.15131660198,-0.0050919269979985415,-0.0003657165595785002
129,199,6,9,9,19,13,9.372299611087982,13923.15131660198,-0.004674332704169615,-0.00033572375950521605
130,0,6,10,0,0,16,14.499655168313486,13933.386270527943,6.607108797851424e-06,4.7419260971949485e-07
130,1,6,10,0,1,15,14.261837188805655,13933.386270527943,8.225756019442088e-06,5.903630215751142e-07
130,2,6,10,0,2,14,14.04563989286355,13933.386270527943,1.0109009693337612e-05,7.255242549846124e-07
130,3,6,10,0,3,13,13.852075656738233,13933.386270527943,1.1900681673893132e-05,8.541126645620663e-07
130,4,6,10,0,4,12,13.682105101189656,13933.386270527943,1.3357486491116788e-05,9.586676369814492e-07
130,5,6,10,0,5,11,13.536617007214172,13933.386270527943,1.4363341435341681e-05,1.0308579089437278e-06
130,6,6,10,0,6,10,13.416407864998737,13933.386270527943,1.4896338207393e-05,1.0691111204533176e-06
130,7,6,10,0,7,9,13.32216198670471,13933.386270527943,1.5000690154920449e-05,1.076600466223353e-06
130,8,6,10,0,8,8,13.254433220624712,13933.386270527943,1.476170157843626e-05,1.0594482412118567e-06
130,9,6,10,0,9,7,13.213629327327144,13933.386270527943,1.4265068802643555e-05,1.023804875977435e-06
130,10,6,10,0,10,6,13.2,13933.386270527943,1.3529441709181356e-05,9.710088736862902e-07
130,11,6,10,0,11,7,13.213629327327144,13933.386270527943,1.2447973666951384e-05,8.933918449732123e-07
130,12,6,10,0,12,8,13.254433220624712,13933.386270527943,1.0833837826851322e-05,7.775452152480105e-07
130,13,6,10,0,13,9,13.32216198670471,13933.386270527943,8.578018793059528e-06,6.156449427662715e-07
130,14,6,10,0,14,10,13.416407864998737,13933.386270527943,5.754095717236396e-06,4.129718078230218e-07
130,15,6,10,0,15,11,13.536617007214172,13933.386270527943,2.6363943739227125e-06,1.89214188334048e-07
130,16,6,10,0,16,12,13.682105101189656,13933.386270527943,-4.350151812104741e-07,-3.1221066635511516e-08
130,17,6,10,0,17,13,13.852075656738235,13933.386270527943,-3.194199777567519e-06,-2.2924791687745906e-07
130,18,6,10,0,18,14,14.04563989286355,13933.386270527943,-5.427890080511588e-06,-3.8956000896872594e-07
130,19,6,10,0,19,15,14.261837188805655,13933.386270527943,-6.940314090542188e-06,-4.981067743182014e-07
